bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-2_ses-18_T1w	0.42426504754029254	2.8850377433314556	0.6551439004410827	77.77883136094675	3.9687533333333334	3.83759	4.40171	3.66696	0.20856913655700068	0.4248599438306595	0.36657091961233984	1.2576380968093872	0.33760914802551256	0.0	0.0007789098173400379	24.093150122970783	12.849651852306623	18.165358069091578	188	256	256	3.4110586851960076	11.553019870313795	12.82587127821205	23.513535279126348	17.764498214252928	37.34922913005756	34.697932500180464	48.98007015623091	1.0	1.0	1.0	2.9653585649933545	13.375570599601419	76.36978693677635	82.85052254796028	3657277.0	14.07051831483841	102.71478369832039	24.68888871347976	3.4401684968911708	83.32121501953544	387.7051533699719	362.6883015036583	20485.0	255.00745251774788	592.683338522911	106.32459958430196	0.23607376089948895	62.33752169355523	767.4222580574733	762.5393249094486	33163.0	666.6942648589611	884.9528342485428	66.00246831942368	1.1381486418544329	38.40874860252517	1000.8637102962284	1000.0000134110451	251580.0	932.5442932546139	1070.9319792687893	42.528612311964324	0.17424485087394714	0.4638234078884125	0.5271967649459839	0.41424946855928135
sub-2_ses-19_T1w	0.44556129855453896	2.8833210082794114	0.6966976143510432	73.6065946122449	3.997883333333333	3.82104	4.43293	3.73968	0.21243374073589852	0.42259029659446445	0.364975962669637	1.2728590965270996	0.35786725282669085	0.0	0.0008951392510124947	23.9560943373657	12.973457511716521	18.35882850357434	188	256	256	3.4319852969329574	11.556273291006619	12.555923671190245	22.67951242563116	19.742690976049055	41.50015697043725	38.57706736593651	54.488354151323236	1.0	1.0	1.0	54.67696037399934	12.023420496951442	79.36501147165822	83.41378855705261	2849461.0	25.391002766788006	102.7225359082222	23.38307646327803	1.266164434676024	85.5953030616305	386.13619114425376	362.3286440446973	23441.0	252.84804656356573	587.4686381593347	105.57181458861437	0.1968761900270457	64.69745315026252	766.7691413956983	761.6335392668843	34189.0	667.1172209829092	882.1201227381825	65.90553731558954	0.7008035465958704	41.50942790614188	1001.639100299925	1000.0000253170729	250114.0	930.9712535366416	1075.1110525131226	44.09257163290974	0.17137783765792847	0.4609103202819824	0.5227173566818237	0.41029906912259856
sub-2_ses-1_T1w	0.47590784864082697	2.652370511970017	0.6669535985172023	80.98565800542848	3.9650166666666666	3.81161	4.48921	3.59423	0.21119856777691226	0.42495252663913335	0.3638489055839544	1.2682298421859741	0.38609373569488525	0.0	0.0009295653185203269	23.64516178984064	12.749418364656737	18.0500130484207	188	256	256	2.7239279109814665	11.073105309331586	11.896844593295127	21.893500559572328	18.414030919209974	38.16382960614429	35.377606939123325	49.554960292015714	1.0	1.0	1.0	2.2812865357667986	13.220399335089493	76.44253529188879	82.56755667179823	3413184.0	15.043223433196545	102.44367089122534	24.240535753594756	23.516464416218767	93.55198613456457	400.9941244147425	371.5880394652486	23944.0	254.23728290945292	617.9871903460472	136.41340446755865	0.2493192664752022	67.2121065432794	777.08880486033	770.1313571184874	34314.0	673.7219928216189	901.7085104957223	69.54870505597394	1.0205844919908404	42.1841749776138	1000.9733185962575	999.9999794438481	251699.0	928.0511687248945	1076.1009921059012	45.67556431741779	0.17452898621559143	0.46741586923599243	0.5277060270309448	0.4224876203951868
sub-2_ses-20_T1w	0.38827147959215136	3.129215818931099	0.6421522510842106	83.0688822180422	3.92704	3.79124	4.36276	3.62712	0.20224004017925448	0.429502699120559	0.36825726070018655	1.248952865600586	0.31489386558532706	0.0	0.0009750892241334209	24.585661492383498	12.792713833936281	18.299613092969768	188	256	256	3.297971388419832	11.5723223668475	13.403209857470252	25.33933581714342	17.861182190428607	38.21233872902221	35.682618311449886	50.974334014898844	1.0	1.0	1.0	70.72860786584606	12.852279553048328	72.28995292457688	78.91297028958797	3800242.0	12.45270062983036	97.69522041082382	25.448958860457413	4.044425564343262	81.4997727213144	377.15565680859106	350.39560391008854	16370.0	244.81940638795496	576.4396401219069	106.24255340923713	0.28121700503894553	60.997326767642065	753.8787871593979	749.638818025589	35041.0	653.6635838896036	868.2490715384483	64.77767362419327	1.05163836261395	36.21078762962029	1000.9695429445975	1000.0000201910734	250117.0	938.1493137478828	1066.1850920468569	39.46425543040653	0.17623896896839142	0.46097254753112793	0.5250079035758972	0.4060779943820271
sub-2_ses-21_T1w	0.4378050741415035	2.8821841702674793	0.7005562450175908	84.95096923738636	4.042566666666667	3.87832	4.53338	3.716	0.2075615386314821	0.4278299090935691	0.3646085522749488	1.3169848918914795	0.35661813020706146	0.0	0.0005659900173454111	23.956412785373804	12.689908306753686	17.94353512343996	188	256	256	3.467998372402198	12.768254476041974	13.084633717763788	23.017648304847196	20.243953164337313	42.09012875248524	38.88462423394879	54.31979078502382	1.0	1.0	1.0	133.86233325452554	12.061437090518533	73.9255021186978	78.836476508528	2817850.0	17.96792745962739	97.50673338025808	23.06142979733706	6.731277290293146	82.34750934461934	392.7123527434861	372.7028080224991	27504.0	254.25202629882844	591.9203021476043	107.46718784460681	0.23290759788341342	59.26591030808747	777.9770055176064	774.9034513533115	41370.0	683.6006277799606	882.0086866989732	60.68911668597766	0.8629930005080615	39.30813670507119	1001.3614707255593	1000.0585553832352	252887.0	931.3473278991878	1074.271363262087	43.447382845242316	0.16993828117847443	0.4675096571445465	0.5254508256912231	0.43063081226845434
sub-2_ses-22_T1w	0.4334370000642839	2.7916335373004024	0.6656890592499437	72.00043849598256	3.9900800000000003	3.8541	4.42603	3.69011	0.20922238342259347	0.42362516599914984	0.3671524505782567	1.2735320329666138	0.34505404829978925	0.0	0.000967220659807061	24.11686624223946	12.916420839345992	18.37679810903088	188	256	256	3.6379240843556198	11.200646399814076	12.718025405084177	23.315505731082833	17.020105376854662	36.775312736829655	33.99068940861105	48.17665011214882	1.0	1.0	1.0	66.58968449572362	13.599703906486724	80.03014130449283	86.1141854301095	3442573.0	15.973430171608925	106.8321988210082	26.50720060775205	1.2908984877732754	78.55001394263884	370.57860274267665	353.31329706311226	16736.0	241.81559140980244	561.9958823248744	97.11657891286913	0.4781647480232243	63.54344411479142	769.6298917278389	763.4034399837255	32433.0	667.2465534061193	892.4561035484076	68.15603704579662	1.0715318206412183	39.0405293177593	1000.6442088112008	1000.0790662392974	249426.0	931.3616859465837	1071.0105853676796	42.89321762997323	0.17597417533397675	0.4615420401096344	0.528814435005188	0.3846996197718631
sub-2_ses-23_T1w	0.42321846078597297	2.9119922351332472	0.6465086857838802	82.89668934240363	3.94448	3.78617	4.39527	3.652	0.2024778029551955	0.4289630268877635	0.368559170157041	1.2472057342529297	0.34821473956108084	0.0	0.0009169888917076331	24.674082720265275	12.809753092150517	18.10500711245967	188	256	256	3.2773172441986196	11.270472725203406	12.776055832497002	23.78037752808898	17.767187481734105	37.927542053472784	35.24853660293141	50.05088027358733	1.0	1.0	1.0	24.834687715600573	13.089407830977127	72.9151874004332	79.63286793977022	3661118.0	11.538461655378342	98.68881218880415	25.101843205160595	1.7623872069061912	83.59077278198264	382.93162673561113	354.98252107948065	19494.0	247.81468782573938	589.6896912898865	108.31219244143486	0.24561539832907453	63.50306769483952	763.512529851499	757.7797279581428	36305.0	661.9755311831832	884.7028061673045	67.23491641055432	0.8026249257636269	39.009027298258566	1000.5677255482732	1000.0000101327896	252731.0	932.517491966486	1070.3671437129378	42.05139428764507	0.17606376111507416	0.46855032444000244	0.5288155674934387	0.4071519731931507
sub-2_ses-24_T1w	0.44120897385854	2.7583341347102537	0.6710988291752737	80.44210239168308	3.9799233333333333	3.84889	4.43514	3.65574	0.20783492061085287	0.4267071217854226	0.3654579576037245	1.2862553596496582	0.37617535591125484	0.0	0.0008643657379287138	24.09812368823873	12.819027295736012	18.212258643180874	188	256	256	3.428272788109446	11.298520080198543	12.768890062223853	23.57987731836357	19.323873513911877	39.91107854163271	37.0463940775846	51.904230177209215	1.0	1.0	1.0	90.91140811227486	12.623400667850952	76.63962969634645	81.86879195272923	3442823.0	18.884401343762875	101.18982685357332	24.234724799195604	2.438755990097155	85.28887374304425	394.86171370184604	372.3392658010125	21777.0	257.8321154564619	602.1176752150059	108.6059190165213	0.4071819226013047	63.602518749556715	775.4123756133766	769.0208524093032	34696.0	673.9166057575494	898.4827020838857	68.06287589890545	1.0362528441632302	38.35571741385481	1000.383829541956	1000.1091624945402	251251.0	931.448535643518	1069.5338980704546	42.41358675155729	0.17320381104946136	0.4648648202419281	0.5259047150611877	0.40778691411255963
sub-2_ses-25_T1w	0.4989471930122578	2.5416416525579355	0.695569536624617	81.01768269382934	4.054693333333334	3.8994	4.50792	3.75676	0.2126819648631668	0.4229852103266129	0.3643328248102203	1.320468544960022	0.40105786323547354	0.0	0.000580943871766063	23.818740800670636	12.888213744704204	18.14791795133289	188	256	256	3.6128513881644357	11.334090755733433	12.161083001021709	21.536306859167258	20.796107940598432	42.9454818693633	39.556179638229914	54.926949104728	1.0	1.0	1.0	6.271860058352441	11.92741265694079	78.49246558433319	82.79561012983322	2766861.0	25.140367448329926	101.73468694090843	21.240997507120177	4.202315605004125	81.37974260725225	401.82019705431156	378.6139337718487	28030.0	272.6891855895519	604.0015180073678	104.79456232961776	0.23340575434183952	65.60076961317434	789.1991220569302	781.8654276430607	36072.0	685.9968264400959	914.5227665454149	68.98255950575704	0.8464423355221933	43.23687088141036	1003.234127931791	1000.0000158697367	252405.0	931.5344151854515	1084.0526443719864	46.43312530155343	0.17146728932857513	0.4662044942378998	0.5242556929588318	0.3998592634788728
sub-2_ses-26_T1w	0.40421435077823736	3.030995449086941	0.660287755589687	82.79058309759249	3.9824466666666667	3.86309	4.43659	3.64766	0.2065988078088667	0.4277415127116553	0.36565967947947803	1.24978506565094	0.34671473503112793	0.0	0.0008718926168334199	24.131419089104217	12.769974416588822	18.19626055721591	188	256	256	3.1941343995151295	11.59907848422099	13.121987341815887	24.572749141711537	19.708829640219026	40.85056069529072	38.193543900084876	54.021241364744874	1.0	1.0	1.0	85.81228584228563	12.128348148535991	74.70305559680136	79.73949804902077	3410658.0	18.34643829613924	98.483045399189	23.748035517411903	9.213801425330836	84.19193132236148	390.3631218323792	364.86379884183407	20849.0	252.6407801732421	598.9198752865195	114.22658002156551	0.25915425871898545	61.70149931876562	762.5160621071777	756.2544824928045	37469.0	665.3165091201663	880.2795822471379	65.19866140388984	1.023823138883083	36.8560482572016	999.3226066286923	1000.0794416666031	250309.0	930.7442008331418	1063.5374685004354	40.69863889495646	0.17569850385189056	0.4683009386062622	0.528028666973114	0.4050958692574958
sub-2_ses-27_T1w	0.4514645280121567	2.7503294426166596	0.6598043011977881	90.14812173525154	3.95355	3.7932	4.46308	3.60437	0.2074898546497754	0.4279406015549844	0.3645695437952402	1.2619134187698364	0.3575173974037169	0.0	0.0010851814083420459	24.037689638349438	12.761499592227949	18.05963031417837	188	256	256	2.7610914326571643	11.103108882086788	12.379802803113805	23.27520809459746	20.228982232221142	41.42394075594789	38.53800094887884	53.96107985846747	1.0	1.0	1.0	23.50824152140777	12.142061324487875	71.79834666122888	77.32596603035927	3421570.0	15.236643552780151	95.70516731590033	22.58841541939659	12.432975694419918	96.00699651920645	409.7875772503567	374.9166604205966	23213.0	263.02255932986736	626.3974622592326	135.78274892457722	0.3105651240020504	64.52234913129021	774.7225014287122	767.7363770157099	35453.0	672.2216677442193	902.1997563689947	69.14509778919026	0.8467662158980915	40.37941324190154	1000.1540904600831	1000.0951911956072	252989.0	930.387546941638	1069.7076064273715	42.968175002789515	0.17494527995586395	0.4703524112701416	0.5275930166244507	0.3893378809223697
sub-2_ses-28_T1w	0.4497106485978063	2.733617228967413	0.6725880514941281	78.93560946938776	3.9160600000000003	3.68542	4.42052	3.64224	0.20625066814587514	0.42960709651536827	0.36414223533875656	1.269504427909851	0.35262485742568983	0.0	0.0009694034044153481	24.157626585844685	12.727337234445077	18.10879725492516	188	256	256	3.1746386179809867	10.619201070905584	12.46940926620988	23.614388109743068	18.50384106268387	39.90000572159729	36.89553763407875	52.28276611795508	1.0	1.0	1.0	10.821202989672912	12.530637353696257	75.28386584772453	81.25240163505077	3311359.0	15.751056581735611	99.98079208284616	23.42559854397934	4.758939795743852	82.7306852556537	380.29636087204983	353.9185579493642	23287.0	244.65040506497024	591.1448369547725	111.48070738023239	0.4673152388172488	67.06738856353338	770.3581057655537	763.1578999906778	36811.0	665.0979684665799	902.036118388176	71.86487278373875	0.6608079826075395	39.44302894288481	1000.2233448399746	1000.0000068843365	251977.0	930.8490267693996	1069.8232881948352	42.34698006685478	0.1744219958782196	0.47001612186431885	0.5283132195472717	0.4151680689022688
