Scan0163,include,
Scan0164,include,
Scan0165,include,
Scan0166,include,
Scan0167,include,
Scan0168,include,
Scan0169,include,
Scan0171,include,
Scan0172,exclude,differs by postprocessing only
Scan0173,include,
Scan0174,include,
Scan0175,include,
Scan0177,include,
Scan0178,include,
Scan0181,include,
Scan0182,include,
Scan0183,include,
Scan0184,include,
Scan0186,exclude,scout scan
Scan0187,include,
Scan0188,include,
Scan0189,include,
Scan0190,include,
Scan0193,include,
Scan0194,include,
Scan0196,exclude,differs by postprocessing only
Scan0197,include,
Scan0199,include,
Scan0200,include,
Scan0201,include,
Scan0202,include,
Scan0203,include,
Scan0206,include,
Scan0207,include,
Scan0208,include,
Scan0210,include,
Scan0211,include,
Scan0214,exclude,differs by postprocessing only
Scan0216,include,
Scan0218,include,
Scan0219,include,
Scan0220,exclude,inconsistent sliceLocation in DICOM header
Scan0221,include,
Scan0223,include,
Scan0225,include,
Scan0228,include,
Scan0229,include,
Scan0230,include,
Scan0231,include,
Scan0233,include,
Scan0234,include,
Scan0235,exclude,differs by postprocessing only
Scan0236,include,
Scan0238,include,
Scan0239,include,
Scan0241,include,
Scan0242,include,
Scan0243,include,
Scan0244,include,
Scan0246,include,
Scan0247,include,
Scan0250,include,
Scan0251,include,
Scan0253,include,
Scan0254,include,
Scan0255,include,
Scan0256,include,
Scan0257,include,
Scan0258,include,
Scan0261,include,
Scan0262,include,
Scan0263,include,
Scan0264,include,
Scan0265,include,
Scan0268,include,
Scan0270,exclude,differs by postprocessing only
Scan0271,include,
Scan0273,exclude,differs by postprocessing only
Scan0274,include,
Scan0276,include,
Scan0277,include,
Scan0278,include,
Scan0279,include,
Scan0282,include,
Scan0283,include,
Scan0284,include,
Scan0285,include,
Scan0286,include,
Scan0287,include,
Scan0288,include,
Scan0290,include,
Scan0291,include,
Scan0292,include,
Scan0293,include,
Scan0294,include,
Scan0295,include,
Scan0296,include,
Scan0298,include,
Scan0299,include,
Scan0302,include,
Scan0303,include,
Scan0304,include,
Scan0308,include,
Scan0309,include,
Scan0310,include,
Scan0312,include,
Scan0313,include,
Scan0314,include,
Scan0315,include,
Scan0319,include,
Scan0320,include,
Scan0321,exclude,differs by postprocessing only
Scan0322,include,
Scan0323,include,
Scan0324,include,
Scan0325,include,
Scan0326,include,
Scan0327,include,
Scan0328,include,
Scan0329,include,
Scan0330,include,
Scan0331,include,
Scan0332,include,
Scan0333,include,
Scan0334,include,
Scan0335,include,
Scan0336,include,
Scan0337,include,
Scan0338,include,
Scan0339,include,
Scan0340,include,
Scan0341,include,
Scan0343,exclude,discrepancy between DICOM and NIFTI (Roland)
Scan0345,include,
Scan0346,include,
Scan0347,include,
Scan0348,include,
Scan0349,include,
Scan0350,include,
Scan0352,include,
Scan0353,include,
Scan0354,include,
Scan0355,include,
Scan0356,include,
Scan0357,include,
Scan0359,include,
Scan0360,include,
Scan0361,include,
Scan0362,include,
Scan0363,include,
Scan0365,include,
Scan0366,exclude,differs by postprocessing only
Scan0368,include,
Scan0369,include,
Scan0370,include,
Scan0371,include,
Scan0372,include,
Scan0374,include,
Scan0375,include,
Scan0377,include,
Scan0379,include,
Scan0380,include,
Scan0381,include,
Scan0383,include,
Scan0385,include,
Scan0387,include,
Scan0389,include,
Scan0390,include,
Scan0391,include,
Scan0392,include,
Scan0393,include,
Scan0394,include,
Scan0395,include,
Scan0396,include,
Scan0398,include,
Scan0400,include,
Scan0401,include,
Scan0402,include,
Scan0403,include,
Scan0404,include,
Scan0405,include,
Scan0406,include,
Scan0408,include,
Scan0409,include,
Scan0410,include,
Scan0412,include,
Scan0413,include,
Scan0414,include,
Scan0416,include,
Scan0417,include,
Scan0418,include,
Scan0419,include,
Scan0420,include,
Scan0423,include,
Scan0424,include,
Scan0425,include,
Scan0426,include,
Scan0427,include,
Scan0428,include,
Scan0429,include,
Scan0432,include,
Scan0433,include,
Scan0434,include,
Scan0435,include,
Scan0436,include,
Scan0438,include,
Scan0439,include,
Scan0441,include,
Scan0442,include,
Scan0443,include,
Scan0444,include,
Scan0445,exclude,differs by postprocessing only
Scan0447,include,
Scan0450,include,
Scan0451,include,
Scan0452,include,
Scan0453,include,
Scan0454,include,
