bids_meta,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,provenance,qi_1,qi_2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,snrd_csf,snrd_gm,snrd_total,snrd_wm,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_csf_k,summary_csf_mad,summary_csf_mean,summary_csf_median,summary_csf_n,summary_csf_p05,summary_csf_p95,summary_csf_stdv,summary_gm_k,summary_gm_mad,summary_gm_mean,summary_gm_median,summary_gm_n,summary_gm_p05,summary_gm_p95,summary_gm_stdv,summary_wm_k,summary_wm_mad,summary_wm_mean,summary_wm_median,summary_wm_n,summary_wm_p05,summary_wm_p95,summary_wm_stdv,tpm_overlap_csf,tpm_overlap_gm,tpm_overlap_wm,wm2max
MPrageHiRes,0.4470489026036363,3.083431555278894,0.534779877690524,19179.7914988971,4.131046666666666,4.05771,4.15966,4.17577,0.2247693954369469,0.39307194203017837,0.3821586625328747,0.45780879259109497,0.15829829275608065,,0.0,0.008555570464821206,22.423164226535015,12.466099213950434,14.81104016381878,176,256,256,3.730121673819942,12.502345837018039,12.339192939998176,20.785111309156548,41.385811530297424,98.99918698038414,90.24583782909686,130.35251497660903,1.0,1.0,1.0,7.556799914999154,5.02621874131738,6.074388529595801,3.390133023262024,3148844.0,0.0,24.935320526361465,8.964741221935988,2.7094406112317317,62.133322466679985,321.67143721269645,317.5127218365669,66449.0,193.884384021163,467.9008070290088,85.12063692454485,0.004399524594183912,60.81063332422804,760.4259375368781,759.5236182510853,19753.0,662.2044969767333,860.8707528412342,60.74895082755184,0.35066373828725617,46.72399395711486,1000.1201579962271,1000.0669383555651,223125.0,922.3838244080544,1079.2845335662362,48.11447398244778,0.17029746804241586,0.4419912304173815,0.5136592664917161,0.8219698146667447
MPrageHiRes,0.36044417876348106,3.7415623310917785,0.5730449513306681,13687.509594709725,4.321777306666667,4.03853,4.74722304,4.17957888,0.23659806810074002,0.3936666988224863,0.3697352330767737,0.4820951819419861,0.12517205178737634,,0.0,0.01158144214662846,18.274955515075643,10.677688870285431,13.613785282918066,160,256,256,1.844333958367165,11.344711650044607,12.654954736966522,24.775818602487792,20.907074170598932,94.11466401533053,82.00867113238566,131.0042752112275,1.0,0.9765625,0.9765625,9.651695646749383,0.0,2.8696532817663694,0.0,2206334.0,0.0,12.501474276185036,5.00117293288051,3.127523645170606,68.63089667322254,176.3237693177125,159.60018928535283,73358.0,67.78069372596221,350.19312547026186,86.53481694049383,-0.04370051749919135,64.52178566221431,715.4543395352601,718.4514709617943,41109.0,607.4831959951669,815.0135659016669,63.32842602780517,0.8336322238617249,36.98199909907406,1001.2382030054886,1000.058972876519,239147.0,937.433663059026,1069.4657427966595,40.3642316741195,0.17913536007643446,0.45636035039907236,0.5199543638328246,0.6818922016043103
MPrageHiRes,0.4219570190217709,3.3238386727902585,0.578111328841447,36371.01522550991,4.096568373333333,3.80138,4.27472896,4.21359616,0.2266041509643181,0.3885134368043942,0.3848824122312877,0.2632862329483032,0.0368649572134018,,0.0,0.005377062309310386,19.608532980665434,11.05135015825599,13.026604861571716,160,256,256,3.903191683850099,15.45448216211058,14.513665830330266,24.183323645030118,51.804584765560215,132.48959987868398,117.88015877813181,169.34629169015122,1.0,0.9765625,0.9765625,14.360479272332292,0.0,1.8684100279552955,0.0,1779559.0,0.0,9.83848825097084,3.8687830194578736,3.7799424179148904,49.98871999718064,318.0514422953696,305.9220917522907,74327.0,226.5596940368414,471.9096338748932,78.37689218899739,-0.10179460319283296,51.36599218245048,782.755122623322,782.3920549452305,23884.0,700.1826183013618,866.7159220576286,50.62451575972401,0.1933579921211952,40.47302126258896,1001.4636853282963,1000.0422167032957,232058.0,936.0709304362535,1072.1840929985046,41.35246571791112,0.17793497365936595,0.45130917056272435,0.5217491330024602,0.8733981155385098
MPrageHiRes,0.4205262471477247,3.2334658022515543,0.6700391643959563,-1.0,5.735150038468334,3.6051301154050046,7.15524,6.44508,0.23337297283896102,0.36782044675201353,0.39880658040902545,0.3386547863483429,0.05940961390733718,,0.07349710149959403,0.003080837730863376,18.878113649931954,11.308386126030632,12.186799979480314,175,480,480,3.1541023642420605,17.681660833645804,13.61093148719741,19.99703126370436,15.432813217838627,38.027781131975544,34.07054166982111,48.75103065964916,1.0000027418136597,0.5,0.5,17.6034606348782,0.0,6.229905949728273,0.0,3078116.0,0.0,35.51087434589863,13.438991504266951,29.04448394876654,75.99807933235472,322.6179180757874,316.5775031298399,513252.0,181.69658793509007,480.79911644756794,100.36998111257854,0.04676367169683404,43.94838426037684,780.2426426750283,780.0742373019457,183373.0,708.1463788151741,852.4767247289419,44.11758135297395,0.598331374409117,48.554328462337736,1004.8595813821826,1000.0431770533323,1135806.0,932.1712386012077,1094.0628553032875,50.009560100720265,0.1594782243386232,0.4171108555169828,0.49316870339343843,0.40575980392156863
MPrageHiRes,0.45646001035443234,2.9910715071042664,0.7268889207076851,8788.82211702827,3.5015536521044957,3.4483609563134863,3.77331,3.28299,0.23024024941121382,0.3950278417194847,0.3747319088693015,0.81076580286026,0.2183047592639923,,0.0,0.021041018983380354,21.978827432749235,12.285560208592292,15.111809077850172,170,256,256,1.252621400108271,6.693400220451912,6.980882999671381,12.99662737845396,3.6110072615351925,17.66050204416891,16.437692797102063,28.04156908560209,1.0000026226043701,1.0,1.0,6.763998397532971,0.0,12.941796517249651,0.0,524702.0,0.0,64.93592453747988,23.36458750581579,2.164105003586461,89.66325581034762,149.64947914034406,128.7818767912686,28604.0,27.480513334274292,355.58033693004387,102.80809959329397,-0.03167025830811543,93.58082023679646,630.3226943731669,629.8388326577842,16001.0,473.51038360595703,786.3654584884644,94.09554641486956,0.21523289508038923,75.41311520913999,1000.1076189714487,1000.0660850182176,208970.0,873.6293001100421,1125.7431922741234,76.94793911128141,0.17630367706910222,0.4481112560744227,0.5212687097852219,0.520299190765319
MPrageHiRes,0.3285968022567713,4.390140763192949,0.7656799089936805,20922.369644739287,7.552796499414235,2.7667201649093727,10.829610666666667,9.062058666666667,0.262917514525697,0.39539958550794724,0.34168289996635576,0.40242576599121094,0.054282686114311196,,0.0,0.008046573617474859,20.48107979222423,12.917802919501401,17.81283685100819,106,512,512,1.9417094020584857,11.14749265130734,12.185930394869713,23.468589131243313,10.009348477519215,33.50712850848103,31.148037659732196,49.92763599319634,1.9999998807907104,0.46875,0.46875,94.51296656456074,0.0,3.915465374316559,0.0,784491.0,0.0,19.756395433098078,12.982540535292907,-0.09990506796014653,120.36044203070124,208.6050773090936,198.3507134411484,748609.0,60.854360210150524,379.13047342188656,102.15255730404884,1.858047247626934,64.3276016452671,665.3027961367031,663.9955497551709,970901.0,572.9646067861468,760.504667269066,59.56453424789551,0.005348200351692256,42.5970552197672,988.4932451090846,989.3932898752391,1014317.0,918.9637799020857,1056.9088772181422,42.158171359517944,0.1730071175085288,0.4627509358317412,0.5243273865933074,0.5915640190253846
MPrageHiRes,0.3521036121729664,3.826556674838431,0.5313117890489681,11608.891333884689,4.25244232,4.36151,4.23228416,4.1635328,0.23527953188894832,0.39791378085149626,0.36680668725955545,0.5447551012039185,0.15868396162986753,,0.0,0.012797873102688227,22.25007303586952,12.822258842551767,16.57873268162318,192,256,256,1.6737296486400637,10.06683881013964,11.703448561146422,23.36977722465956,18.423967675589598,86.03972871190075,76.37922131646052,124.67396756189117,1.0,0.9765625,0.9765625,10.660341023303548,0.0,3.6833212090257548,0.0,3010750.0,0.0,13.150494487956166,5.25521942932202,1.6985304926317175,75.16849431412226,163.52154019125203,147.78906025364995,67554.0,53.110856557264924,346.0026336895301,88.29858902899258,-0.10188602973776906,69.92695112898537,688.6145372541789,690.1733043994755,37108.0,574.4435962885618,798.9394105412066,68.55816585837671,0.6732470849932679,39.19244790704631,1000.060294374878,1000.0803751125932,233183.0,929.5872967168689,1070.6270196773112,42.79365699917895,0.16826665292957282,0.45188921495208023,0.5200729666898364,0.6593794698829222
MPrageHiRes,0.4434074755674059,3.1080186047720493,0.7257685370785225,-1.0,7.476283351429323,7.520133532548838,8.21960347826087,6.689113043478261,0.17399264509691817,0.35675612383846794,0.46925123106461386,0.6910231709480286,0.8488013759255408,,0.0,0.002569795293428158,16.044345929234545,7.632737206201176,7.299306409752767,160,240,240,3.250089252811492,17.640133199918765,13.603111770314428,19.91911285821303,10.932133097382206,29.203488195243324,25.78714666747848,37.225818709809914,0.8999999761581421,0.8984375,0.8984375,8.86771220707658,0.0,9.96217565246293,0.0,1242065.0,0.0,45.39892885833979,17.60124470591363,6.602595089319477,74.65998321552526,307.4115172828315,293.7085312381387,72189.0,186.48978435993195,482.06578926742077,90.36874808114536,-0.07804645907544128,45.922572796250186,783.3693102093675,784.5965237021446,38781.0,708.8028509840369,853.2422799617052,44.47735167368355,0.22550609862291804,49.646024644594796,1007.0325960632318,1000.1287434026599,413003.0,937.3429907262325,1100.4571563974023,50.20944154090346,0.19920641176077492,0.4255763091650622,0.5113280530018112,0.285653853227883
MPrageHiRes,0.3441141382649031,3.97517720497774,0.5705947137614557,13695.039375650364,5.359199183729874,5.702277551189625,5.700053333333333,4.6752666666666665,0.2462796241160436,0.3874532313893167,0.3662671444946397,0.3026776909828186,0.0483024060726166,,0.0,0.003323760241654449,18.017528990858416,11.029908316479116,13.757087220871961,192,320,320,3.5303786927715115,14.167145400084143,14.363090735006255,25.391748112163114,30.5312097445533,85.4113999644057,77.21247822588911,115.69482496870833,0.9000000357627869,0.75,0.75,19.832043723505066,5.6628267826168885,5.617767929229565,3.8195186220109463,5028597.0,0.0,21.20368281751871,8.330161549414289,2.2186915233411435,58.26889988468406,273.0897139836932,263.9037492759526,201035.0,167.23780134692788,416.1490476205945,74.75206369582519,0.021806060163238605,52.764843946439605,737.7922569821734,738.2736835554242,95041.0,652.4951485209167,822.3387896753848,52.111401324793235,0.7444040859311349,37.31114842752249,1000.8005563033535,1000.0356466881931,512956.0,938.2094200216234,1066.2882313840091,39.38423882802554,0.15947833671021752,0.4503610670115401,0.5207565461298636,0.49467973839553353
MPrageHiRes,0.407550763793791,3.4022679770847826,0.5135238478843093,29293.401834266697,3.991566742182975,3.8008602265489237,4.08627,4.08757,0.22296307720003336,0.4022855307465894,0.37475139205337726,0.367592453956604,0.10789214819669724,,0.0,0.006040323502329456,24.085889251567057,13.2634939047381,16.324473883006114,192,256,256,3.7301900975208797,14.770905627468597,14.31101533089697,24.43195026770143,37.26539360682206,93.60029793253719,83.97473537919116,121.05851459821423,0.9999999403953552,1.0,1.0,10.623572001717003,0.0,3.2205081637758655,0.0,3936064.0,0.0,14.278508722782135,5.411943398756694,16.45760922335227,55.05181172512609,316.09721872113533,307.84154403954744,72424.0,216.86067127157003,453.6142540164292,82.52646935173641,-0.037946044318514005,52.57821934876201,773.0981601710706,773.2122875750065,27477.0,686.9980311021209,859.6671058796345,52.3460264911655,0.2126246740221558,39.86510504233269,1000.4176242632865,1000.0388147309422,220881.0,933.5351083427668,1068.1333332322538,40.93150730992653,0.16454916710710144,0.44560118237081064,0.5130045410095219,0.46868171375484613
